Date,Time,Open,High,Low,Close,Volume
2017.01.27,0:00,1.06823,1.07246,1.06579,1.06955,134319
2017.01.30,0:00,1.07147,1.07398,1.06199,1.06942,145920
2017.01.31,0:00,1.06935,1.0812,1.06841,1.0797,191392
2017.02.01,0:00,1.07967,1.08069,1.07297,1.0768,163240
2017.02.02,0:00,1.07678,1.08284,1.07556,1.07568,169989
2017.02.03,0:00,1.0757,1.07971,1.07111,1.07819,165797
2017.02.06,0:00,1.07858,1.07911,1.07053,1.07487,145775
2017.02.07,0:00,1.07487,1.07493,1.06557,1.0682,148859
2017.02.08,0:00,1.0682,1.07135,1.06402,1.0697,146959
2017.02.09,0:00,1.06969,1.07091,1.06505,1.06538,136358
2017.02.10,0:00,1.06539,1.06673,1.06072,1.06369,138597
2017.02.13,0:00,1.06268,1.06582,1.05917,1.0597,121420
2017.02.14,0:00,1.0597,1.0633,1.05604,1.05765,132760
2017.02.15,0:00,1.05764,1.06087,1.05209,1.05994,142248
2017.02.16,0:00,1.05989,1.06788,1.05903,1.06724,142328
2017.02.17,0:00,1.06724,1.06763,1.06049,1.06111,131889
2017.02.20,0:00,1.06066,1.06325,1.06026,1.06106,96213
2017.02.21,0:00,1.06104,1.06145,1.05254,1.05354,126351
2017.02.22,0:00,1.05353,1.05735,1.04933,1.05576,150414
2017.02.23,0:00,1.05576,1.05947,1.05371,1.05807,137137
2017.02.24,0:00,1.05804,1.06175,1.05559,1.05592,134982
2017.02.27,0:00,1.05622,1.06302,1.05512,1.05852,126761
2017.02.28,0:00,1.05854,1.06297,1.05684,1.05751,143464
2017.03.01,0:00,1.05752,1.05889,1.05137,1.05462,193399
2017.03.02,0:00,1.05461,1.05507,1.04944,1.05052,178411
2017.03.03,0:00,1.05051,1.06233,1.05017,1.06204,182354
2017.03.06,0:00,1.06057,1.06397,1.0574,1.05803,151920
2017.03.07,0:00,1.05803,1.0602,1.05577,1.05652,138127
2017.03.08,0:00,1.05649,1.05736,1.05344,1.05394,141394
2017.03.09,0:00,1.05391,1.06147,1.05246,1.05754,141545
2017.03.10,0:00,1.05749,1.06986,1.05716,1.06724,135465
2017.03.13,0:00,1.06849,1.07139,1.06517,1.0653,120166
2017.03.14,0:00,1.0653,1.06621,1.05995,1.06075,113325
2017.03.15,0:00,1.06075,1.07394,1.0604,1.07353,134379
2017.03.16,0:00,1.07355,1.07737,1.07052,1.07712,151340
2017.03.17,0:00,1.07711,1.07819,1.0727,1.07368,113018
2017.03.20,0:00,1.07387,1.07767,1.07247,1.0736,90720
2017.03.21,0:00,1.0736,1.08187,1.07188,1.08057,135876
2017.03.22,0:00,1.08059,1.08241,1.07753,1.0792,133722
2017.03.23,0:00,1.07918,1.08044,1.07674,1.07822,122455
